technique,trimester_t,trimester_t1,n_spans_t,n_spans_t1,cosine_distance
appeal to authority,2020-S1,2020-S2,6102,7061,0.01795036603377209
appeal to authority,2020-S2,2021-S1,7061,20392,0.015024623467050913
appeal to authority,2021-S1,2021-S2,20392,16862,0.006860330162416273
appeal to authority,2021-S2,2022-S1,16862,15851,0.004116929879200204
appeal to authority,2022-S1,2022-S2,15851,20336,0.011532205866785605
appeal to authority,2022-S2,2023-S1,20336,14253,0.0031323183227228713
appeal to authority,2023-S1,2023-S2,14253,25179,0.014803277451338914
appeal to authority,2023-S2,2024-S1,25179,43127,0.008779579665171622
appeal to authority,2024-S1,2024-S2,43127,32335,0.018251651243125555
"appeal to fear, prejudice",2020-S1,2020-S2,22271,19527,0.007396204695041431
"appeal to fear, prejudice",2020-S2,2021-S1,19527,86925,0.006546622771227417
"appeal to fear, prejudice",2021-S1,2021-S2,86925,98678,0.012236844240309797
"appeal to fear, prejudice",2021-S2,2022-S1,98678,97092,0.011632200288585026
"appeal to fear, prejudice",2022-S1,2022-S2,97092,106757,0.016364178422456077
"appeal to fear, prejudice",2022-S2,2023-S1,106757,85981,0.002284840820892975
"appeal to fear, prejudice",2023-S1,2023-S2,85981,153196,0.022310688974912618
"appeal to fear, prejudice",2023-S2,2024-S1,153196,201170,0.00813783511260846
"appeal to fear, prejudice",2024-S1,2024-S2,201170,125012,0.00623146939829089
appeal to hypocrisy (to quoque),2020-S1,2020-S2,11999,10785,0.01771385577158313
appeal to hypocrisy (to quoque),2020-S2,2021-S1,10785,50226,0.00866399902961279
appeal to hypocrisy (to quoque),2021-S1,2021-S2,50226,39770,0.012837344224017833
appeal to hypocrisy (to quoque),2021-S2,2022-S1,39770,40401,0.0159356256604245
appeal to hypocrisy (to quoque),2022-S1,2022-S2,40401,58731,0.038740260948829874
appeal to hypocrisy (to quoque),2022-S2,2023-S1,58731,34088,0.007716260553783383
appeal to hypocrisy (to quoque),2023-S1,2023-S2,34088,58131,0.010820659072999783
appeal to hypocrisy (to quoque),2023-S2,2024-S1,58131,73975,0.0068418025260985615
appeal to hypocrisy (to quoque),2024-S1,2024-S2,73975,48105,0.00769319505839372
appeal to pity,2020-S1,2020-S2,3624,5577,0.0168218669323138
appeal to pity,2020-S2,2021-S1,5577,20754,0.009811228543556871
appeal to pity,2021-S1,2021-S2,20754,15953,0.022252089761904292
appeal to pity,2021-S2,2022-S1,15953,17060,0.008948402669480271
appeal to pity,2022-S1,2022-S2,17060,15479,0.020284741227694192
appeal to pity,2022-S2,2023-S1,15479,11956,0.003896982658308512
appeal to pity,2023-S1,2023-S2,11956,16469,0.007189134778743833
appeal to pity,2023-S2,2024-S1,16469,18237,0.006669346906676199
appeal to pity,2024-S1,2024-S2,18237,14215,0.003915213273995022
appeal to popularity (bandwagon),2020-S1,2020-S2,5626,5430,0.011479592851170395
appeal to popularity (bandwagon),2020-S2,2021-S1,5430,23827,0.0034394363977591214
appeal to popularity (bandwagon),2021-S1,2021-S2,23827,20159,0.0032346754137483336
appeal to popularity (bandwagon),2021-S2,2022-S1,20159,20384,0.0015804961804802842
appeal to popularity (bandwagon),2022-S1,2022-S2,20384,24409,0.003823473943045941
appeal to popularity (bandwagon),2022-S2,2023-S1,24409,17980,0.0010650807390909511
appeal to popularity (bandwagon),2023-S1,2023-S2,17980,32532,0.0027926098832875557
appeal to popularity (bandwagon),2023-S2,2024-S1,32532,57732,0.0023976278769907156
appeal to popularity (bandwagon),2024-S1,2024-S2,57732,41271,0.0037908958256533953
appeal to time,2020-S1,2020-S2,4305,3348,0.015345238718580512
appeal to time,2020-S2,2021-S1,3348,16692,0.017407663863482248
appeal to time,2021-S1,2021-S2,16692,20940,0.0020600088837881003
appeal to time,2021-S2,2022-S1,20940,20862,0.0030978986375915785
appeal to time,2022-S1,2022-S2,20862,21709,0.0060377501340014295
appeal to time,2022-S2,2023-S1,21709,18864,0.0018924993886320074
appeal to time,2023-S1,2023-S2,18864,33388,0.004388474128177888
appeal to time,2023-S2,2024-S1,33388,54431,0.0019029661810774368
appeal to time,2024-S1,2024-S2,54431,27260,0.006317529523169885
appeal to values/flag waving,2020-S1,2020-S2,37451,34436,0.011140245649562175
appeal to values/flag waving,2020-S2,2021-S1,34436,130720,0.006998069004860552
appeal to values/flag waving,2021-S1,2021-S2,130720,123568,0.0067375861632765766
appeal to values/flag waving,2021-S2,2022-S1,123568,123498,0.008792161702472101
appeal to values/flag waving,2022-S1,2022-S2,123498,141106,0.015304940245842502
appeal to values/flag waving,2022-S2,2023-S1,141106,97934,0.003061604930310713
appeal to values/flag waving,2023-S1,2023-S2,97934,167481,0.005941895288708032
appeal to values/flag waving,2023-S2,2024-S1,167481,275273,0.007656183145147266
appeal to values/flag waving,2024-S1,2024-S2,275273,190161,0.006602870466686284
black-and-white fallacy,2020-S1,2020-S2,17595,14100,0.014216581138944973
black-and-white fallacy,2020-S2,2021-S1,14100,55733,0.01113665888236992
black-and-white fallacy,2021-S1,2021-S2,55733,55159,0.0075003005036233805
black-and-white fallacy,2021-S2,2022-S1,55159,54757,0.007953874098250213
black-and-white fallacy,2022-S1,2022-S2,54757,65278,0.012615222047352437
black-and-white fallacy,2022-S2,2023-S1,65278,52278,0.0016875858993047332
black-and-white fallacy,2023-S1,2023-S2,52278,87506,0.011287161767855047
black-and-white fallacy,2023-S2,2024-S1,87506,136570,0.006815796667231977
black-and-white fallacy,2024-S1,2024-S2,136570,88155,0.006547431760602018
causal oversimplification,2020-S1,2020-S2,15593,11854,0.01603727471328198
causal oversimplification,2020-S2,2021-S1,11854,60355,0.009285292521697963
causal oversimplification,2021-S1,2021-S2,60355,49726,0.010112336371060793
causal oversimplification,2021-S2,2022-S1,49726,49640,0.010674126055257749
causal oversimplification,2022-S1,2022-S2,49640,59126,0.01985983140309744
causal oversimplification,2022-S2,2023-S1,59126,45276,0.0026738474288570124
causal oversimplification,2023-S1,2023-S2,45276,77731,0.019689874587518474
causal oversimplification,2023-S2,2024-S1,77731,114966,0.011888348936279436
causal oversimplification,2024-S1,2024-S2,114966,75568,0.010118593419344402
distraction,2020-S1,2020-S2,3486,2693,0.010734145937087214
distraction,2020-S2,2021-S1,2693,11407,0.005847728905495453
distraction,2021-S1,2021-S2,11407,7460,0.003823904069791051
distraction,2021-S2,2022-S1,7460,7823,0.008523714672183269
distraction,2022-S1,2022-S2,7823,8976,0.00934235366867131
distraction,2022-S2,2023-S1,8976,6287,0.0036832235736250496
distraction,2023-S1,2023-S2,6287,9225,0.012867476653173449
distraction,2023-S2,2024-S1,9225,12789,0.005043056548223901
distraction,2024-S1,2024-S2,12789,10693,0.0068387312241142695
exaggeration or minimisation,2020-S1,2020-S2,19799,19848,0.009435205421337023
exaggeration or minimisation,2020-S2,2021-S1,19848,89016,0.005683306752017003
exaggeration or minimisation,2021-S1,2021-S2,89016,88492,0.0031718063823489295
exaggeration or minimisation,2021-S2,2022-S1,88492,83472,0.0022901609691144964
exaggeration or minimisation,2022-S1,2022-S2,83472,97928,0.0051599584544766985
exaggeration or minimisation,2022-S2,2023-S1,97928,75296,0.0012443123376147947
exaggeration or minimisation,2023-S1,2023-S2,75296,128651,0.00458180856715229
exaggeration or minimisation,2023-S2,2024-S1,128651,205194,0.0033975736412855673
exaggeration or minimisation,2024-S1,2024-S2,205194,126072,0.0044801089846433495
intentional vagueness,2020-S1,2020-S2,594,774,0.010373086445289559
intentional vagueness,2020-S2,2021-S1,774,3303,0.00803268185414674
intentional vagueness,2021-S1,2021-S2,3303,3264,0.0053725761605026845
intentional vagueness,2021-S2,2022-S1,3264,2954,0.0031938660592890633
intentional vagueness,2022-S1,2022-S2,2954,3214,0.0020986349087209755
intentional vagueness,2022-S2,2023-S1,3214,2743,0.002104045491060358
intentional vagueness,2023-S1,2023-S2,2743,4335,0.006251639208286086
intentional vagueness,2023-S2,2024-S1,4335,6906,0.002753676887030987
intentional vagueness,2024-S1,2024-S2,6906,4314,0.003655206834546121
loaded language,2020-S1,2020-S2,88285,92070,0.0018283082999688283
loaded language,2020-S2,2021-S1,92070,355135,0.0013052091650350706
loaded language,2021-S1,2021-S2,355135,334918,0.010892064763147191
loaded language,2021-S2,2022-S1,334918,316418,0.010260014075226698
loaded language,2022-S1,2022-S2,316418,393935,0.0028197003082136574
loaded language,2022-S2,2023-S1,393935,310493,0.001051126069486985
loaded language,2023-S1,2023-S2,310493,457759,0.0035998492976277996
loaded language,2023-S2,2024-S1,457759,721975,0.0023673928555620893
loaded language,2024-S1,2024-S2,721975,507984,0.0025891310936083656
name calling,2020-S1,2020-S2,149954,138290,0.007958766523824545
name calling,2020-S2,2021-S1,138290,543953,0.002473586706200903
name calling,2021-S1,2021-S2,543953,492539,0.010219648622705635
name calling,2021-S2,2022-S1,492539,460067,0.00953814896156635
name calling,2022-S1,2022-S2,460067,617640,0.007074612286836146
name calling,2022-S2,2023-S1,617640,427155,0.0023287359573531674
name calling,2023-S1,2023-S2,427155,671401,0.007300928316039235
name calling,2023-S2,2024-S1,671401,1092716,0.0036526018230609303
name calling,2024-S1,2024-S2,1092716,799058,0.0029086530933144505
reductio ad hitlerum,2020-S1,2020-S2,2448,3205,0.009481550869193334
reductio ad hitlerum,2020-S2,2021-S1,3205,10014,0.007712397236268598
reductio ad hitlerum,2021-S1,2021-S2,10014,10977,0.0149305828156866
reductio ad hitlerum,2021-S2,2022-S1,10977,10899,0.024921054221531902
reductio ad hitlerum,2022-S1,2022-S2,10899,11069,0.015494437504970926
reductio ad hitlerum,2022-S2,2023-S1,11069,7707,0.003223159583266688
reductio ad hitlerum,2023-S1,2023-S2,7707,19493,0.04112176254495348
reductio ad hitlerum,2023-S2,2024-S1,19493,23071,0.010065995703747443
reductio ad hitlerum,2024-S1,2024-S2,23071,16555,0.011814843761447369
repetition,2020-S1,2020-S2,49713,49172,0.00622158055663713
repetition,2020-S2,2021-S1,49172,179390,0.002047137484962769
repetition,2021-S1,2021-S2,179390,157994,0.00310487460930442
repetition,2021-S2,2022-S1,157994,163964,0.001943224567041435
repetition,2022-S1,2022-S2,163964,205986,0.0032089472531656726
repetition,2022-S2,2023-S1,205986,151092,0.0013744585147931199
repetition,2023-S1,2023-S2,151092,240770,0.005460302468258127
repetition,2023-S2,2024-S1,240770,378244,0.002279628211363738
repetition,2024-S1,2024-S2,378244,270953,0.0024254763277770097
slogans,2020-S1,2020-S2,22617,21540,0.014030528515469709
slogans,2020-S2,2021-S1,21540,73327,0.022898525113537294
slogans,2021-S1,2021-S2,73327,73824,0.005031377041849083
slogans,2021-S2,2022-S1,73824,78265,0.0054831070578518215
slogans,2022-S1,2022-S2,78265,93014,0.013730156886727074
slogans,2022-S2,2023-S1,93014,67665,0.0035073603595491276
slogans,2023-S1,2023-S2,67665,120076,0.00635155879561089
slogans,2023-S2,2024-S1,120076,237522,0.007436966023116831
slogans,2024-S1,2024-S2,237522,147337,0.0112918839575743
smears/doubt,2020-S1,2020-S2,55716,70500,0.013652940498798949
smears/doubt,2020-S2,2021-S1,70500,275970,0.012547614255799977
smears/doubt,2021-S1,2021-S2,275970,210233,0.006990609750594401
smears/doubt,2021-S2,2022-S1,210233,197705,0.004832485610184123
smears/doubt,2022-S1,2022-S2,197705,273281,0.006853908920222196
smears/doubt,2022-S2,2023-S1,273281,192276,0.002823758320115166
smears/doubt,2023-S1,2023-S2,192276,292013,0.008161522258146259
smears/doubt,2023-S2,2024-S1,292013,543215,0.0040022660341787475
smears/doubt,2024-S1,2024-S2,543215,397169,0.018315053358591515
thought-terminating cliché,2020-S1,2020-S2,18136,19628,0.0013626816645715412
thought-terminating cliché,2020-S2,2021-S1,19628,71737,0.0009372575892280244
thought-terminating cliché,2021-S1,2021-S2,71737,56918,0.0008482469649185864
thought-terminating cliché,2021-S2,2022-S1,56918,52599,0.0004446938719226967
thought-terminating cliché,2022-S1,2022-S2,52599,69012,0.0006103890226590858
thought-terminating cliché,2022-S2,2023-S1,69012,54154,0.00043979643217828546
thought-terminating cliché,2023-S1,2023-S2,54154,82243,0.0007298728069659033
thought-terminating cliché,2023-S2,2024-S1,82243,134915,0.0005527374545553077
thought-terminating cliché,2024-S1,2024-S2,134915,98479,0.0008720757261970746
