trimester,technique,n_spans_left,n_spans_right,cosine_distance_left_right
2020-S1,appeal to authority,4103,1999,0.025983148891757568
2020-S1,"appeal to fear, prejudice",14634,7637,0.020311286719045474
2020-S1,appeal to hypocrisy (to quoque),8933,3066,0.0341802342498877
2020-S1,appeal to pity,2939,685,0.021576409722862788
2020-S1,appeal to popularity (bandwagon),3361,2265,0.029631434939227375
2020-S1,appeal to time,1933,2372,0.009661944610763418
2020-S1,appeal to values/flag waving,23660,13791,0.03269323765141663
2020-S1,black-and-white fallacy,11274,6321,0.04003569347164848
2020-S1,causal oversimplification,11161,4432,0.02814842635261261
2020-S1,distraction,2717,769,0.02287159118870774
2020-S1,exaggeration or minimisation,11849,7950,0.020678477631943748
2020-S1,intentional vagueness,378,216,0.023276719135823964
2020-S1,loaded language,56818,31467,0.005908624725438405
2020-S1,name calling,97456,52498,0.022239239521047227
2020-S1,reductio ad hitlerum,1590,858,0.022773390613123112
2020-S1,repetition,32569,17144,0.011740156627511378
2020-S1,slogans,11283,11334,0.018165934065106137
2020-S1,smears/doubt,33251,22465,0.03353652475929958
2020-S1,thought-terminating cliché,11825,6311,0.004211160807777392
2020-S2,appeal to authority,5987,1074,0.019921470620395954
2020-S2,"appeal to fear, prejudice",16269,3258,0.015794806210283285
2020-S2,appeal to hypocrisy (to quoque),9371,1414,0.016638410856436137
2020-S2,appeal to pity,5289,288,0.050455730498366935
2020-S2,appeal to popularity (bandwagon),4345,1085,0.007178071660007834
2020-S2,appeal to time,2515,833,0.006446753483931422
2020-S2,appeal to values/flag waving,28458,5978,0.035758069070125575
2020-S2,black-and-white fallacy,12055,2045,0.020403230833256125
2020-S2,causal oversimplification,10152,1702,0.023108072142052016
2020-S2,distraction,2359,334,0.017621175102455533
2020-S2,exaggeration or minimisation,15775,4073,0.008351189557054384
2020-S2,intentional vagueness,632,142,0.02192778727085154
2020-S2,loaded language,76917,15153,0.0022471634776294325
2020-S2,name calling,114184,24106,0.008429750756523413
2020-S2,reductio ad hitlerum,2725,480,0.026337170340278937
2020-S2,repetition,41250,7922,0.005612927658882105
2020-S2,slogans,15795,5745,0.013863107627955729
2020-S2,smears/doubt,58325,12175,0.009445109069144864
2020-S2,thought-terminating cliché,16600,3028,0.0033399402281545365
2021-S1,appeal to authority,13343,7049,0.017083018446350517
2021-S1,"appeal to fear, prejudice",54538,32387,0.013349831575636406
2021-S1,appeal to hypocrisy (to quoque),37399,12827,0.009748936370543748
2021-S1,appeal to pity,17504,3250,0.01205097609552952
2021-S1,appeal to popularity (bandwagon),13479,10348,0.007443664579655951
2021-S1,appeal to time,7880,8812,0.012560193377997408
2021-S1,appeal to values/flag waving,84866,45854,0.023551780838433567
2021-S1,black-and-white fallacy,36627,19106,0.014308027644293841
2021-S1,causal oversimplification,41530,18825,0.01359758563884339
2021-S1,distraction,7945,3462,0.008334045994415784
2021-S1,exaggeration or minimisation,50897,38119,0.009080233574941143
2021-S1,intentional vagueness,1774,1529,0.004028495861310599
2021-S1,loaded language,223720,131415,0.0028404582302310466
2021-S1,name calling,343861,200092,0.008460274515349475
2021-S1,reductio ad hitlerum,6045,3969,0.009977934511675168
2021-S1,repetition,113281,66109,0.003808050773756455
2021-S1,slogans,39580,33747,0.013731909755439142
2021-S1,smears/doubt,164223,111747,0.009601482955596596
2021-S1,thought-terminating cliché,45894,25843,0.0017007901951876514
2021-S2,appeal to authority,9617,7245,0.020154501102139677
2021-S2,"appeal to fear, prejudice",54276,44402,0.029410050991242498
2021-S2,appeal to hypocrisy (to quoque),26891,12879,0.021493398710614287
2021-S2,appeal to pity,12555,3398,0.02007183185513839
2021-S2,appeal to popularity (bandwagon),9333,10826,0.018752493022327732
2021-S2,appeal to time,7068,13872,0.013695056934943106
2021-S2,appeal to values/flag waving,68435,55133,0.03554810180207657
2021-S2,black-and-white fallacy,30835,24324,0.027429905146638567
2021-S2,causal oversimplification,30422,19304,0.038216079662610314
2021-S2,distraction,5111,2349,0.007956053208733715
2021-S2,exaggeration or minimisation,42578,45914,0.02231184062433411
2021-S2,intentional vagueness,1480,1784,0.009675029407984925
2021-S2,loaded language,196179,138739,0.031384546169454075
2021-S2,name calling,290214,202325,0.03234186009123463
2021-S2,reductio ad hitlerum,6392,4585,0.02396647027765275
2021-S2,repetition,86604,71390,0.00814708696704225
2021-S2,slogans,29575,44249,0.028347925572051014
2021-S2,smears/doubt,110402,99831,0.01972569813767322
2021-S2,thought-terminating cliché,33056,23862,0.0042653650873248905
2022-S1,appeal to authority,8943,6908,0.03139303780620206
2022-S1,"appeal to fear, prejudice",54482,42610,0.04366431686158989
2022-S1,appeal to hypocrisy (to quoque),29670,10731,0.0590527602670563
2022-S1,appeal to pity,14300,2760,0.026693342174295753
2022-S1,appeal to popularity (bandwagon),8785,11599,0.03229946681412221
2022-S1,appeal to time,6290,14572,0.03643248110939412
2022-S1,appeal to values/flag waving,70056,53442,0.07243311691534948
2022-S1,black-and-white fallacy,30227,24530,0.05510225512667011
2022-S1,causal oversimplification,29523,20117,0.05819200267918245
2022-S1,distraction,5548,2275,0.024684076868671245
2022-S1,exaggeration or minimisation,35525,47947,0.038406917280561226
2022-S1,intentional vagueness,1226,1728,0.015000919666509405
2022-S1,loaded language,170287,146131,0.009410638005634686
2022-S1,name calling,258844,201223,0.03606155947016887
2022-S1,reductio ad hitlerum,6596,4303,0.04460213795006296
2022-S1,repetition,91720,72244,0.014197629310401916
2022-S1,slogans,30189,48076,0.07443885415011331
2022-S1,smears/doubt,88761,108944,0.052132377425392895
2022-S1,thought-terminating cliché,28786,23813,0.0063695280785497355
2022-S2,appeal to authority,12246,8090,0.01551020700532224
2022-S2,"appeal to fear, prejudice",58742,48015,0.018155100878911035
2022-S2,appeal to hypocrisy (to quoque),39594,19137,0.013515354553782721
2022-S2,appeal to pity,11375,4104,0.013729378750891641
2022-S2,appeal to popularity (bandwagon),11577,12832,0.013722769006922042
2022-S2,appeal to time,7574,14135,0.010245217071637946
2022-S2,appeal to values/flag waving,80086,61020,0.03314783677133437
2022-S2,black-and-white fallacy,36336,28942,0.018586349284009596
2022-S2,causal oversimplification,34211,24915,0.01875979431793795
2022-S2,distraction,6267,2709,0.011172290176841515
2022-S2,exaggeration or minimisation,46352,51576,0.01730146006879929
2022-S2,intentional vagueness,1383,1831,0.009516855043299355
2022-S2,loaded language,229597,164338,0.005280975781822184
2022-S2,name calling,365999,251641,0.012010691020288955
2022-S2,reductio ad hitlerum,6676,4393,0.023202532907849238
2022-S2,repetition,118600,87386,0.005562885390431149
2022-S2,slogans,40589,52425,0.019845870357269924
2022-S2,smears/doubt,147099,126182,0.028022667078405283
2022-S2,thought-terminating cliché,39856,29156,0.003861437076435603
2023-S1,appeal to authority,7752,6501,0.024157084140402185
2023-S1,"appeal to fear, prejudice",45596,40385,0.011660853684487882
2023-S1,appeal to hypocrisy (to quoque),20499,13589,0.016261373336347473
2023-S1,appeal to pity,8328,3628,0.00837618675770968
2023-S1,appeal to popularity (bandwagon),8245,9735,0.014797413245773772
2023-S1,appeal to time,6019,12845,0.010839548796177545
2023-S1,appeal to values/flag waving,49654,48280,0.018642299590501787
2023-S1,black-and-white fallacy,25980,26298,0.016715021539297603
2023-S1,causal oversimplification,26611,18665,0.017215979816276095
2023-S1,distraction,4178,2109,0.00931011631389378
2023-S1,exaggeration or minimisation,35038,40258,0.014264326961202167
2023-S1,intentional vagueness,1282,1461,0.011682026950306179
2023-S1,loaded language,171708,138785,0.0050818795171833075
2023-S1,name calling,234964,192191,0.008061244466643247
2023-S1,reductio ad hitlerum,3891,3816,0.01391036186627248
2023-S1,repetition,82129,68963,0.004252537867024175
2023-S1,slogans,26524,41141,0.01870041938974043
2023-S1,smears/doubt,97168,95108,0.03138003883841156
2023-S1,thought-terminating cliché,29783,24371,0.004527076388038842
2023-S2,appeal to authority,14131,11048,0.015092880441301526
2023-S2,"appeal to fear, prejudice",80633,72563,0.04284475766189155
2023-S2,appeal to hypocrisy (to quoque),34387,23744,0.024708857874774615
2023-S2,appeal to pity,9991,6478,0.012666596674834052
2023-S2,appeal to popularity (bandwagon),14486,18046,0.013365268715692769
2023-S2,appeal to time,10445,22943,0.004991432946012786
2023-S2,appeal to values/flag waving,80840,86641,0.019239966764928562
2023-S2,black-and-white fallacy,44841,42665,0.025051626567491492
2023-S2,causal oversimplification,43072,34659,0.043348904045203196
2023-S2,distraction,6529,2696,0.012487003089087123
2023-S2,exaggeration or minimisation,56586,72065,0.022416961139543168
2023-S2,intentional vagueness,1589,2746,0.013109853137657224
2023-S2,loaded language,239057,218702,0.0076651623677688185
2023-S2,name calling,346413,324988,0.01625936548387208
2023-S2,reductio ad hitlerum,12619,6874,0.057505274606450274
2023-S2,repetition,125591,115179,0.00984063198838736
2023-S2,slogans,46246,73830,0.012400280437793065
2023-S2,smears/doubt,137702,154311,0.035397637657208825
2023-S2,thought-terminating cliché,42167,40076,0.004268776220919923
2024-S1,appeal to authority,19206,23921,0.0075527084010996726
2024-S1,"appeal to fear, prejudice",70527,130643,0.02108916006422945
2024-S1,appeal to hypocrisy (to quoque),33364,40611,0.010049375055098064
2024-S1,appeal to pity,8451,9786,0.011135024582933917
2024-S1,appeal to popularity (bandwagon),19328,38404,0.0071535364127565115
2024-S1,appeal to time,13456,40975,0.004258381730093075
2024-S1,appeal to values/flag waving,97051,178222,0.008172591320922518
2024-S1,black-and-white fallacy,49244,87326,0.009931611627890913
2024-S1,causal oversimplification,47150,67816,0.01026814683281485
2024-S1,distraction,6608,6181,0.004353299499473384
2024-S1,exaggeration or minimisation,69531,135663,0.008015120970471079
2024-S1,intentional vagueness,1810,5096,0.007580704859977971
2024-S1,loaded language,284245,437730,0.004309549503913268
2024-S1,name calling,430576,662140,0.006088113340721013
2024-S1,reductio ad hitlerum,11083,11988,0.034146162761342524
2024-S1,repetition,152721,225523,0.004165764384465809
2024-S1,slogans,69444,168078,0.0067772473982609105
2024-S1,smears/doubt,216345,326870,0.012784556812809544
2024-S1,thought-terminating cliché,54519,80396,0.0032266354135481734
2024-S2,appeal to authority,15339,16996,0.00894948610704549
2024-S2,"appeal to fear, prejudice",50719,74293,0.0077740865749006405
2024-S2,appeal to hypocrisy (to quoque),23931,24174,0.008504852371297278
2024-S2,appeal to pity,5897,8318,0.020135159269626834
2024-S2,appeal to popularity (bandwagon),16799,24472,0.009348609439810418
2024-S2,appeal to time,7076,20184,0.008767240460149872
2024-S2,appeal to values/flag waving,69750,120411,0.014840838325406835
2024-S2,black-and-white fallacy,33971,54184,0.017148741787527233
2024-S2,causal oversimplification,34008,41560,0.014640542663250433
2024-S2,distraction,6317,4376,0.006258001115173939
2024-S2,exaggeration or minimisation,47156,78916,0.009112467637759303
2024-S2,intentional vagueness,1714,2600,0.00457781808840263
2024-S2,loaded language,210361,297623,0.0024973077170193925
2024-S2,name calling,345627,453431,0.007845066937365641
2024-S2,reductio ad hitlerum,8766,7789,0.023362302296203286
2024-S2,repetition,115208,155745,0.003172233235010369
2024-S2,slogans,41331,106006,0.007979124448932118
2024-S2,smears/doubt,160850,236319,0.021958960366278535
2024-S2,thought-terminating cliché,44185,54294,0.0037670402409840653
